country,region,year,ypp,school,avgage,exper,hum_cap,lf2,pop,sscap,kpw,lfpr
finland,Western Europe,1960,5291,4.61501,36.50427,25.88926,4.097827683474096,2033,4336,23632.03943924435,21496.6388154517,0.46886531365313655
finland,Western Europe,1970,8108,5.95364,39.00604,27.0524,4.7594351726759525,2118,4597,36630.88305400764,35701.92039026451,0.46073526212747445
finland,Western Europe,1980,10851,9.16178,39.32841,24.16663,6.088678115797843,2223,4780,55386.10326894185,52599.8440629196,0.4650627615062761
finland,Western Europe,1990,14059,10.71113,40.70704,23.99591,6.746959776899137,2306,4986,64945.414944462274,66250.46586375099,0.46249498596068994
finland,Western Europe,2000,16916.26,12.02847,43.55123,25.52276,7.548319834358461,2600,5167,63674.96257040364,67371.74994134683,0.5031933423650087
france,Western Europe,1850,1426.076,0.27034,33.44459,27.17425,2.37368357594046,15000,35783,3465.1097792572514,3465.1097792572514,0.4191934717603331
france,Western Europe,1861,1504.657,1.05599,34.21365,27.15766,2.6367054441146167,16000,35990,3387.2105755293687,3410.667562965421,0.44456793553764934
france,Western Europe,1869,1587.567,1.72713,34.35695,26.62981,2.866836049842111,17000,36550,4009.8015466250736,3714.5910311936877,0.46511627906976744
france,Western Europe,1881,1856.719,2.20403,34.33175,26.12772,3.0367898891932645,17750,37405,4875.301318691874,4657.3556193098875,0.47453548990776634
france,Western Europe,1891,2058.369,2.53461,34.18836,25.65375,3.154462130995086,18500,38133,4629.089338913086,4811.97913495564,0.485144100909973
france,Western Europe,1901,2392.459,2.75683,34.47744,25.72062,3.2527474225172104,19901,38476,6167.684223441004,5787.7140140828615,0.5172315209481235
france,Western Europe,1911,2932.646,2.921,34.68365,25.76265,3.326983374901636,20932,39236,7119.247731888794,7027.253429838587,0.5334896523600775
france,Western Europe,1921,2472.927,3.06867,35.22076,26.1521,3.4109061870681634,21717,38775,9345.295035732608,7191.638841512451,0.5600773694390716
france,Western Europe,1931,3976.933,3.24918,36.07832,26.82914,3.5239058820043208,21614,41278,5079.194789017079,7139.2799218345635,0.5236203304423664
france,Western Europe,1946,3609.644,3.58543,36.47238,26.88694,3.6888545875969636,20794,42503,12508.576166423156,10506.152949108458,0.48923605392560526
france,Western Europe,1954,4565,4.01901,37.48339,27.46437,3.9330019922629424,19266,43171,20751.53690981583,18058.08200483707,0.44627180283060386
france,Western Europe,1962,6401,4.55396,37.55237,26.99841,4.129395383462871,19493,46423,24923.68469476563,25653.432460222553,0.4198996187234776
france,Western Europe,1968,8228,5.20454,38.21358,27.00904,4.410393877075318,20002,49654,32779.855944469506,33526.66060962029,0.402827566761993
france,Western Europe,1975,10297,6.85521,38.42095,25.56574,5.115908507724007,21040,52598,49511.05180648848,46226.81894133087,0.400015209703791
france,Western Europe,1980,11756,8.17085,39.06802,24.89717,5.755287514471256,21472,53714,58818.17663187332,55210.92361630307,0.3997468071638679
france,Western Europe,1991,13904,10.15908,40.42285,24.26377,6.5257964039111425,19740,56735,83242.53068163242,80294.22671092134,0.3479333744602097
france,Western Europe,2000,16820.03,11.20159,42.76083,25.55924,7.139180543878331,26700,59330,68466.30335314719,71199.94979328461,0.4500252823192314
